subject,dfe_qualification_number,dfe_subject_number,dfe_subject_name,prior_attainment_band,probability_u,probability_e,probability_d,probability_c,probability_b,probability_a,probability_a_star
physical_education,111,17210,Physical Education/Sports Studies,3 to < 4,0.24915824915824916,0.36026936026936029,0.2356902356902357,0.12794612794612795,2.0202020202020204E-2,6.7340067340067337E-3,
physical_education,111,17210,Physical Education/Sports Studies,4 to < 5,7.8908913784705312E-2,0.2235752557233317,0.35265465172917682,0.24354603019970775,9.1086215294690701E-2,9.74184120798831E-3,4.8709206039941551E-4
physical_education,111,17210,Physical Education/Sports Studies,5 to < 6,1.3378878451465983E-2,7.5434101907201817E-2,0.23341873042983205,0.37290065471107314,0.24224309706803301,5.5223455735838312E-2,7.4010816965556503E-3
physical_education,111,17210,Physical Education/Sports Studies,6 to < 7,2.7733755942947703E-3,1.4659270998415214E-2,8.1220285261489694E-2,0.26347068145800318,0.39976228209191761,0.1881933438985737,4.992076069730586E-2
physical_education,111,17210,Physical Education/Sports Studies,7 to < 8,,1.0214504596527069E-3,1.2257405515832482E-2,0.10214504596527069,0.32992849846782429,0.36567926455566907,0.18896833503575078
physical_education,111,17210,Physical Education/Sports Studies,8 to < 9,,,1.2422360248447204E-2,4.3478260869565216E-2,0.15527950310559005,0.36024844720496896,0.42857142857142855
computer_studies,111,12610,Computer Studies/Computing,2 to < 3,0.53333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,6.6666666666666666E-2,,
computer_studies,111,12610,Computer Studies/Computing,3 to < 4,0.38114754098360654,0.31147540983606559,0.19262295081967212,8.1967213114754092E-2,2.8688524590163935E-2,4.0983606557377051E-3,
computer_studies,111,12610,Computer Studies/Computing,4 to < 5,0.14419475655430711,0.26342072409488138,0.34706616729088641,0.17852684144818975,6.0549313358302125E-2,6.2421972534332081E-3,
computer_studies,111,12610,Computer Studies/Computing,5 to < 6,4.1063614944463145E-2,0.15180074049141704,0.28778189161898349,0.3123527431841131,0.1709861999326826,3.5678222820599126E-2,3.3658700774150119E-4
computer_studies,111,12610,Computer Studies/Computing,6 to < 7,1.2151536812008578E-2,4.8963545389563976E-2,0.14760543245175126,0.28520371694067193,0.33845604002859186,0.15439599714081487,1.322373123659757E-2
computer_studies,111,12610,Computer Studies/Computing,7 to < 8,5.9844404548174744E-4,8.9766606822262122E-3,3.5906642728904849E-2,0.12746858168761221,0.33153800119688809,0.41651705565529623,7.899461400359066E-2
computer_studies,111,12610,Computer Studies/Computing,8 to < 9,,,,2.8846153846153848E-2,0.17307692307692307,0.43653846153846154,0.36153846153846153
computer_studies,111,12610,Computer Studies/Computing,>=9,,,,,0.5,,0.5
history,111,14010,History,< 1,,,,1,,,
history,111,14010,History,1 to < 2,,,0.33333333333333331,,0.66666666666666663,,
history,111,14010,History,2 to < 3,0.22222222222222221,0.1111111111111111,0.33333333333333331,0.22222222222222221,0.1111111111111111,,
history,111,14010,History,3 to < 4,7.5576036866359442E-2,0.27188940092165897,0.36497695852534562,0.23410138248847925,4.7926267281105994E-2,5.5299539170506912E-3,
